datetime,discharge_m3s,station,station_id
2015-01-01,382.06,kemijoki_rovaniemi,4400810
2015-01-02,410.33,kemijoki_rovaniemi,4400810
2015-01-03,416.56,kemijoki_rovaniemi,4400810
2015-01-04,406.21,kemijoki_rovaniemi,4400810
2015-01-05,345.49,kemijoki_rovaniemi,4400810
2015-01-06,410.65,kemijoki_rovaniemi,4400810
2015-01-07,470.16,kemijoki_rovaniemi,4400810
2015-01-08,395.56,kemijoki_rovaniemi,4400810
2015-01-09,384.89,kemijoki_rovaniemi,4400810
2015-01-10,416.83,kemijoki_rovaniemi,4400810
2015-01-11,415.06,kemijoki_rovaniemi,4400810
2015-01-12,440.59,kemijoki_rovaniemi,4400810
2015-01-13,369.52,kemijoki_rovaniemi,4400810
2015-01-14,427.21,kemijoki_rovaniemi,4400810
2015-01-15,423.12,kemijoki_rovaniemi,4400810
2015-01-16,401.88,kemijoki_rovaniemi,4400810
2015-01-17,415.82,kemijoki_rovaniemi,4400810
2015-01-18,435.85,kemijoki_rovaniemi,4400810
2015-01-19,431.3,kemijoki_rovaniemi,4400810
2015-01-20,372.85,kemijoki_rovaniemi,4400810
2015-01-21,429.78,kemijoki_rovaniemi,4400810
2015-01-22,404.12,kemijoki_rovaniemi,4400810
2015-01-23,408.11,kemijoki_rovaniemi,4400810
2015-01-24,408.12,kemijoki_rovaniemi,4400810
2015-01-25,401.64,kemijoki_rovaniemi,4400810
2015-01-26,440.56,kemijoki_rovaniemi,4400810
2015-01-27,403.57,kemijoki_rovaniemi,4400810
2015-01-28,373.53,kemijoki_rovaniemi,4400810
2015-01-29,394.59,kemijoki_rovaniemi,4400810
2015-01-30,411.18,kemijoki_rovaniemi,4400810
2015-01-31,441.65,kemijoki_rovaniemi,4400810
2015-02-01,423.49,kemijoki_rovaniemi,4400810
2015-02-02,381.34,kemijoki_rovaniemi,4400810
2015-02-03,478.08,kemijoki_rovaniemi,4400810
2015-02-04,413.69,kemijoki_rovaniemi,4400810
2015-02-05,442.99,kemijoki_rovaniemi,4400810
2015-02-06,401.61,kemijoki_rovaniemi,4400810
2015-02-07,421.48,kemijoki_rovaniemi,4400810
2015-02-08,430.36,kemijoki_rovaniemi,4400810
2015-02-09,441.35,kemijoki_rovaniemi,4400810
2015-02-10,436.69,kemijoki_rovaniemi,4400810
2015-02-11,431.33,kemijoki_rovaniemi,4400810
2015-02-12,396.91,kemijoki_rovaniemi,4400810
2015-02-13,389.48,kemijoki_rovaniemi,4400810
2015-02-14,415.72,kemijoki_rovaniemi,4400810
