datetime,water_level_m,station,station_id
2015-01-01,74.934,kemijoki_rovaniemi,4400810
2015-01-02,74.763,kemijoki_rovaniemi,4400810
2015-01-03,74.975,kemijoki_rovaniemi,4400810
2015-01-04,75.211,kemijoki_rovaniemi,4400810
2015-01-05,74.737,kemijoki_rovaniemi,4400810
2015-01-06,74.737,kemijoki_rovaniemi,4400810
2015-01-07,75.226,kemijoki_rovaniemi,4400810
2015-01-08,75.007,kemijoki_rovaniemi,4400810
2015-01-09,74.673,kemijoki_rovaniemi,4400810
2015-01-10,74.946,kemijoki_rovaniemi,4400810
2015-01-11,74.675,kemijoki_rovaniemi,4400810
2015-01-12,74.674,kemijoki_rovaniemi,4400810
2015-01-13,74.865,kemijoki_rovaniemi,4400810
2015-01-14,74.283,kemijoki_rovaniemi,4400810
2015-01-15,74.334,kemijoki_rovaniemi,4400810
2015-01-16,74.648,kemijoki_rovaniemi,4400810
2015-01-17,74.527,kemijoki_rovaniemi,4400810
2015-01-18,74.885,kemijoki_rovaniemi,4400810
2015-01-19,74.555,kemijoki_rovaniemi,4400810
2015-01-20,74.419,kemijoki_rovaniemi,4400810
2015-01-21,75.196,kemijoki_rovaniemi,4400810
2015-01-22,74.739,kemijoki_rovaniemi,4400810
2015-01-23,74.818,kemijoki_rovaniemi,4400810
2015-01-24,74.415,kemijoki_rovaniemi,4400810
2015-01-25,74.653,kemijoki_rovaniemi,4400810
2015-01-26,74.83,kemijoki_rovaniemi,4400810
2015-01-27,74.489,kemijoki_rovaniemi,4400810
2015-01-28,74.901,kemijoki_rovaniemi,4400810
2015-01-29,74.638,kemijoki_rovaniemi,4400810
2015-01-30,74.721,kemijoki_rovaniemi,4400810
2015-01-31,74.638,kemijoki_rovaniemi,4400810
2015-02-01,75.3,kemijoki_rovaniemi,4400810
2015-02-02,74.796,kemijoki_rovaniemi,4400810
2015-02-03,74.514,kemijoki_rovaniemi,4400810
2015-02-04,75.022,kemijoki_rovaniemi,4400810
2015-02-05,74.47,kemijoki_rovaniemi,4400810
2015-02-06,74.856,kemijoki_rovaniemi,4400810
2015-02-07,74.271,kemijoki_rovaniemi,4400810
2015-02-08,74.441,kemijoki_rovaniemi,4400810
2015-02-09,74.853,kemijoki_rovaniemi,4400810
2015-02-10,75.0,kemijoki_rovaniemi,4400810
2015-02-11,74.846,kemijoki_rovaniemi,4400810
2015-02-12,74.769,kemijoki_rovaniemi,4400810
2015-02-13,74.719,kemijoki_rovaniemi,4400810
2015-02-14,74.401,kemijoki_rovaniemi,4400810
2015-02-15,74.606,kemijoki_rovaniemi,4400810
2015-02-16,74.676,kemijoki_rovaniemi,4400810
2015-02-17,75.086,kemijoki_rovaniemi,4400810
2015-02-18,74.894,kemijoki_rovaniemi,4400810
2015-02-19,74.325,kemijoki_rovaniemi,4400810
2015-02-20,74.889,kemijoki_rovaniemi,4400810
2015-02-21,74.698,kemijoki_rovaniemi,4400810
2015-02-22,74.62,kemijoki_rovaniemi,4400810
2015-02-23,74.968,kemijoki_rovaniemi,4400810
2015-02-24,75.082,kemijoki_rovaniemi,4400810
2015-02-25,75.056,kemijoki_rovaniemi,4400810
2015-02-26,74.579,kemijoki_rovaniemi,4400810
2015-02-27,74.723,kemijoki_rovaniemi,4400810
2015-02-28,74.897,kemijoki_rovaniemi,4400810
2015-03-01,75.073,kemijoki_rovaniemi,4400810
